"","TYPE","MEDIAN_INCOME"
"1","ARCHITECTS1",83195
"2","PRODUCERS.AND.DIRECTORS",69605
"3","WRITERS.AND.AUTHORS",60115
"4","ALL.ARTISTS",58005
"5","DESIGNERS",55560
"6","ANNOUNCERS",51675
"7","FINE.ARTISTS..ART.DIRECTORS..ANIMATORS",50505
"8","ENTIRE.U.S..LABOR.FORCE",48305
"9","MUSICIANS",45875
"10","PHOTOGRAPHERS",42940
"11","ENTERTAINERS",41260
"12","ACTORS",41060
"13","DANCERS.AND.CHOREOGRAPHERS",36365
